Identificatiodepth   NO3     NO2     NH4     Si      PO4
514/2_10           90    25.2    0.00    1.01    13.3    1.91
514/2_09          100    25.3    0.19    1.12    16.4    1.82
514/2_07          120    26.6    0.19    1.16    20.4    1.96
514/2_05          150    29.0    0.00    0.73    26.0    2.18
514/2_03          200    31.8    0.02    0.05    34.0    2.29
514/2_01          250    34.3    0.02    0.05    44.8    2.53
514/6_24           10    24.0    0.18    0.61     9.2    1.74
514/6_15           20    24.1    0.18    0.61     9.2    1.73
514/6_12           30    24.0    0.18    0.61     9.2    1.73
514/6_11           40    24.1    0.18    0.63     9.2    1.72
514/6_8            60    24.1    0.18    0.68     9.5    1.71
514/6_7            80    24.4    0.18    1.03    11.2    1.77
514/6_5            90    24.5    0.18    0.87    11.7    1.76
514/6_4           100    24.8    0.19    1.08    13.1    1.80
514/6_3           120    25.8    0.19    1.30    17.0    1.91
514/snatch        100    24.2    0.18    0.64     9.7    1.73
514/13_24           5    24.2    0.18    0.63     9.4    1.71
514/13_22          35    24.2    0.18    0.63     9.4    1.69
514/13_21          70    24.6    0.18    0.95    11.9    1.78
514/13_20         110    26.1    0.19    1.25    18.1    1.96
514/13_17         140    28.8    0.15    0.77    26.4    2.16
514/13_14         170    30.7    0.08    0.23    30.5    2.29
514/13_13         200    32.1    0.02    0.10    34.9    2.40
514/13_12         250    33.8    0.02    0.09    42.0    2.56
514/13_9          300    35.4    0.02    0.09    49.4    2.69
514/13_8          350    36.7    0.02    0.09    58.0    2.76
514/13_7          400    37.2    0.01    0.10    63.8    2.79
514/13_6          450    37.3    0.01    0.09    67.5    2.77
514/13_5          500    37.4    0.01    0.09    70.6    2.74
514/13_4          600    37.2    0.01    0.11    75.6    2.74
514/13_3          700    36.3    0.01    0.11    77.0    2.68
514/13_2          800    35.9    0.01    0.11    79.5    2.69
514/13_1         1000    34.2    0.00    0.12    79.7    2.53
515/1_10           10    24.2    0.19    0.44    14.0    1.68
515/1_09           20    24.2    0.19    0.44    14.0    1.67
515/1_08           40    24.2    0.19    0.44    14.0    1.67
515/1_07           60    24.2    0.19    0.44    14.0    1.67
515/1_06           80    24.3    0.19    0.44    14.0    1.68
515/1_05          100    24.5    0.19    0.84    15.4    1.75
515/1_04          120    25.0    0.19    1.24    17.5    1.84
515/1_03          150    26.9    0.20    1.31    22.8    2.02
515/1_02          200    31.7    0.03    0.14    33.4    2.30
515/1_01          250    33.0    0.02    0.12    39.0    2.43
516/1_10           10    24.3    0.19    0.52    14.4    1.68
516/1_09           20    24.3    0.19    0.50    14.5    1.64
516/1_08           40    24.3    0.19    0.50    14.4    1.63
516/1_07           60    24.2    0.19    0.53    14.5    1.62
516/1_06           80    24.3    0.19    0.60    14.8    1.61
516/1_05          100    24.3    0.19    0.98    16.3    1.66
516/1_04          120    25.7    0.20    1.44    21.2    1.84
516/1_03          150    27.4    0.21    1.33    25.4    1.99
516/1_02          200    31.0    0.07    0.17    31.6    2.18
516/1_01          250    32.8    0.02    0.13    38.6    2.35
517/1_10           10    24.4    0.19    0.50    14.7    1.71
517/1_9            20    24.4    0.19    0.50    14.7    1.71
517/1_8            40    24.5    0.19    0.52    14.8    1.71
517/1_7            60    24.4    0.19    0.52    14.8    1.72
517/1_6            80    24.6    0.19    1.03    16.5    1.82
517/1_5           100    25.1    0.19    1.38    18.5    1.92
517/1_4           120    25.9    0.20    1.48    21.5    2.02
517/1_3           150    27.6    0.20    1.30    25.8    2.17
517/1_2           200    30.5    0.09    0.37    31.1    2.33
517/1_1           250    32.2    0.02    0.12    35.9    2.41
518/1_10           10    24.5    0.16    0.59    14.5    1.73
518/1_9            20    24.5    0.16    0.58    14.4    1.74
518/1_8            40    24.5    0.16    0.58    14.5    1.72
518/1_7            60    24.5    0.16    0.59    14.4    1.74
518/1_6            80    24.5    0.16    0.63    14.5    1.72
518/1_5           100    24.7    0.16    1.06    16.4    1.78
518/1_4           120    24.9    0.16    1.39    18.9    1.85
518/1_3           150    26.4    0.17    1.50    23.1    2.00
518/1_2           200    30.7    0.07    0.32    30.9    2.24
518/1_1           250    32.3    0.02    0.14    36.2    2.37
519/1_9            20    24.5    0.16    0.57    14.4    1.70
519/1_8            40    24.5    0.16    0.58    14.5    1.71
519/1_7            60    24.5    0.16    0.62    14.8
519/1_6            80    24.5    0.16    0.60    14.5    1.70
519/1_5           100    25.1    0.16    1.29    19.2    1.84
519/1_4           120    26.4    0.17    1.40    23.3    1.98
519/1_3           150    28.0    0.16    1.12    26.5    2.10
519/1_2           200    30.6    0.07    0.24    31.0    2.23
519/1_1           250    33.0    0.01    0.13    39.2    2.41
520/1_10           10    24.8    0.21    0.56    13.7    1.64
520/1_09           20    24.8    0.21    0.54    13.7    1.64
520/1_08           40    24.8    0.21    0.56    13.7    1.64
520/1_07           60    24.8    0.21    0.55    13.7    1.76
520/1_06           80    24.8    0.21    0.55    13.7    1.66
520/1_05          100    24.8    0.21    0.65    14.1    1.67
520/1_04          120    25.1    0.21    0.98    15.6    1.72
520/1_03          150    27.3    0.24    1.30    24.4    1.97
520/1_02          200    31.6    0.06    0.19    32.2    2.21
520/1_01          250    33.2    0.02    0.16    38.1    2.31
521/1_10           10    24.7    0.21    0.57    13.4    1.67
521/1_09           20    24.6    0.21    0.57    13.4    1.67
521/1_08           40    24.6    0.21    0.57    13.5    1.67
521/1_07           60    24.6    0.21    0.59    13.6    1.66
521/1_06           80    24.6    0.21    0.59    13.6    1.67
521/1_05          100    24.7    0.21    0.76    14.6    1.70
521/1_04          120    25.3    0.22    1.39    19.0    1.83
521/1_03          150    27.1    0.23    1.40    24.0    1.98
521/1_02          200    30.5    0.11    0.47    29.9    2.15
521/1_01          250    32.8    0.02    0.19    36.7    2.30
522/1_24           10    23.9    0.20    0.42    12.6    1.58
522/1_22           20    23.9    0.20    0.39    12.6    1.59
522/1_21           20    23.9    0.20    0.39    12.6    1.58
522/1_20           30    23.9    0.20    0.40    12.6    1.58
522/1_17           40    23.9    0.20    0.41    12.6    1.57
