                       UTC	     Lon	     Lat	  TdTdTd
Mar  2 2004  9:00:00:000AM	     2.1	   -49.2	     3.3	
Mar  2 2004 12:00:00:000PM	     2.1	   -49.0	     3.4	
Mar  2 2004  3:00:00:000PM	     2.1	   -49.3	     1.6	
Mar  2 2004  6:00:00:000PM	     2.1	   -49.1	     0.6	
Mar  2 2004  9:00:00:000PM	     2.1	   -48.9	     1.0	
Mar  3 2004 12:00:00:000AM	     2.1	   -49.0	     0.7	
Mar  3 2004  3:00:00:000AM	     2.1	   -49.2	    -1.6	
Mar  3 2004  6:00:00:000AM	     2.1	   -49.2	     0.4	
Mar  3 2004  9:00:00:000AM	     2.1	   -49.0	    -1.6	
Mar  3 2004 12:00:00:000PM	     2.1	   -48.9	    -1.6	
Mar  3 2004  3:00:00:000PM	     2.1	   -49.0	    -0.6	
Mar  3 2004  6:00:00:000PM	     2.1	   -49.2	    -1.3	
Mar  3 2004  9:00:00:000PM	     2.4	   -49.4	    -1.9	
Mar  4 2004 12:00:00:000AM	     2.3	   -49.4	    -2.6	
Mar  4 2004  3:00:00:000AM	     2.4	   -49.4	    -2.7	
Mar  4 2004  6:00:00:000AM	     2.4	   -49.4	    -3.1	
Mar  4 2004  9:00:00:000AM	     2.4	   -49.4	    -2.5	
Mar  4 2004 12:00:00:000PM	     2.4	   -49.5	    -0.7	
Mar  4 2004  3:00:00:000PM	     2.4	   -49.5	     0.5	
Mar  4 2004  6:00:00:000PM	     2.2	   -49.3	     3.2	
Mar  4 2004  9:00:00:000PM	     2.2	   -49.4	     3.6	
Mar  5 2004 12:00:00:000AM	     2.4	   -49.3	     3.6	
Mar  5 2004  3:00:00:000AM	     2.3	   -49.5	     3.7	
Mar  5 2004  6:00:00:000AM	     2.0	   -49.6	     4.3	
Mar  5 2004  9:00:00:000AM	     2.5	   -49.6	     3.9	
Mar  5 2004 12:00:00:000PM	     2.1	   -49.4	     4.4	
Mar  5 2004  3:00:00:000PM	     2.1	   -49.4	     5.0	
Mar  5 2004  6:00:00:000PM	     2.1	   -49.4	     5.5	
Mar  5 2004  9:00:00:000PM	     2.1	   -49.4	     5.7	
Mar  6 2004 12:00:00:000AM	     2.0	   -49.4	     6.4	
Mar  6 2004  3:00:00:000AM	     2.0	   -49.5	     6.1	
Mar  6 2004  6:00:00:000AM	     2.0	   -49.5	     6.4	
Mar  6 2004  9:00:00:000AM	     2.0	   -49.5	     6.4	
Mar  6 2004 12:00:00:000PM	     2.0	   -49.5	     5.5	
Mar  6 2004  3:00:00:000PM	     2.0	   -49.5	     3.6	
Mar  6 2004  6:00:00:000PM	     1.9	   -49.4	     0.4	
Mar  6 2004  9:00:00:000PM	     1.9	   -49.4	     0.9	
Mar  7 2004 12:00:00:000AM	     1.9	   -49.4	    -0.2	
Mar  7 2004  3:00:00:000AM	     1.9	   -49.4	    -1.5	
Mar  7 2004  6:00:00:000AM	     1.9	   -49.4	    -1.7	
Mar  7 2004  9:00:00:000AM	     1.8	   -49.4	    -1.5	
Mar  7 2004 12:00:00:000PM	     1.8	   -49.4	    -1.6	
Mar  7 2004  3:00:00:000PM	     1.8	   -49.4	    -4.1	
Mar  7 2004  6:00:00:000PM	     1.8	   -49.3	    -3.7	
Mar  7 2004  9:00:00:000PM	     1.8	   -49.3	    -5.8	
Mar  8 2004 12:00:00:000AM	     1.8	   -49.3	    -4.1	
Mar  8 2004  3:00:00:000AM	     2.1	   -49.2	    -2.4	
Mar  8 2004  6:00:00:000AM	     1.7	   -49.2	    -1.1	
Mar  8 2004  9:00:00:000AM	     1.8	   -49.2	     1.6	
Mar  8 2004 12:00:00:000PM	     2.2	   -49.3	     4.1	
Mar  8 2004  3:00:00:000PM	     2.4	   -49.6	     5.2	
Mar  8 2004  6:00:00:000PM	     2.2	   -49.6	     5.5	
