                       UTC	     Lon	     Lat	  dd	      ff
Mar  4 2004 12:00:00:000AM	     2.3	   -49.4	 220	   16.00	
Mar  4 2004  3:00:00:000AM	     2.4	   -49.4	 230	   12.00	
Mar  4 2004  6:00:00:000AM	     2.4	   -49.4	 230	   10.00	
Mar  4 2004  9:00:00:000AM	     2.4	   -49.4	 270	   10.00	
Mar  4 2004 12:00:00:000PM	     2.4	   -49.5	 280	   12.00	
Mar  4 2004  3:00:00:000PM	     2.4	   -49.5	 290	   14.00	
Mar  4 2004  6:00:00:000PM	     2.2	   -49.3	 280	   15.00	
Mar  4 2004  9:00:00:000PM	     2.2	   -49.4	 280	   14.00	
Mar  5 2004 12:00:00:000AM	     2.4	   -49.3	 290	   16.00	
Mar  5 2004  3:00:00:000AM	     2.3	   -49.5	 290	   14.00	
Mar  5 2004  6:00:00:000AM	     2.0	   -49.6	 290	   15.00	
Mar  5 2004  9:00:00:000AM	     2.5	   -49.6	 310	   17.00	
Mar  5 2004 12:00:00:000PM	     2.1	   -49.4	 310	   16.00	
Mar  5 2004  3:00:00:000PM	     2.1	   -49.4	 320	   17.00	
Mar  5 2004  6:00:00:000PM	     2.1	   -49.4	 320	   16.00	
Mar  5 2004  9:00:00:000PM	     2.1	   -49.4	 320	   15.00	
Mar  6 2004 12:00:00:000AM	     2.0	   -49.4	 330	   16.00	
